year_month,intersection_id,source_observations,valid_observations,mean_15min_volume,median_15min_volume,total_volume_estimate,mean_detector_coverage,expected_full_month_observations,temporal_coverage,name_fa,gis_id
2018-10,1075,2880,2856.0,940.8410364145658,1212.0,2687042.0,1.0,2976,0.9596774193548387,حكيم عبدالرزاق,1045.0
2018-10,1077,2880,2876.0,487.25678853025033,618.0,1401350.523813,0.998826495132128,2976,0.9663978494623656,5 رمضان مسجد سيد,1018.0
2018-10,1078,2880,2880.0,496.2,604.0,1429056.0,1.0,2976,0.967741935483871,چهارراه وفايي,1017.0
2018-10,1079,2880,2880.0,485.9642361111111,615.0,1399577.0,1.0,2976,0.967741935483871,طيب - مسجد سيد,1022.0
2018-10,1080,2880,2880.0,627.2672309027778,790.5,1806529.625,0.9993827166666667,2976,0.967741935483871,توحيد دانشگاه,1089.0
2018-10,1081,2880,2878.0,466.2185229642113,586.0,1341776.909091,0.9999420896455872,2976,0.9670698924731183,سه راه حكيم نظامي (شهداي غزه),1078.0
2018-10,1082,2880,2880.0,491.65605572083336,626.0,1415969.440476,0.9963194444444444,2976,0.967741935483871,توحيد شريعتي,1082.0
2018-10,1083,2880,2878.0,719.3917844179986,875.5,2070409.555555,0.9998957609451007,2976,0.9670698924731183,چهارراه امين (حكيم نظامي-شريعتي),1083.0
2018-10,1084,2880,913.0,543.7171623515882,646.0,496413.769227,0.9920982157721796,2976,0.30678763440860213,ميدان ارتش,1084.0
2018-10,1085,2880,2880.0,497.8901515177083,603.0,1433923.636371,0.9639179684027778,2976,0.967741935483871,سه راه سيمين,1095.0
2018-10,1086,2880,1617.0,513.6431344545455,636.0,830560.948413,0.9981447124304267,2976,0.5433467741935484,وحيد رودكي,1087.0
2018-10,1088,2880,2602.0,626.2522235645657,779.0,1629508.285715,0.9999039200614912,2976,0.8743279569892473,,
2018-10,1090,2880,2652.0,480.39793866289597,601.5,1274015.333334,0.9996606334841629,2976,0.8911290322580645,چهار راه توحيد نظر,1090.0
2018-10,1092,2880,2880.0,756.1388888888889,940.5,2177680.0,1.0,2976,0.967741935483871,پل وحيد,1091.0
2018-10,1093,2880,2880.0,668.0427083333333,846.0,1923963.0,0.999968434375,2976,0.967741935483871,جنوب فلزي,1093.0
2018-10,1094,2880,2880.0,815.8818402777779,1020.5,2349739.7,0.998317309375,2976,0.967741935483871,جنوب آذر,1094.0
2018-10,1095,2880,1572.0,522.3503392703562,645.0,821134.733333,0.9989662849872774,2976,0.5282258064516129,وحيد باغ درياچه,1096.0
2018-10,1109,2880,2877.0,572.9425616962113,719.0,1648355.75,0.9997296569343066,2976,0.9667338709677419,شيخ مفيد شيخ صدوق,1109.0
2018-10,1112,2880,2879.0,633.4020245123306,802.0,1823564.428571,0.9999565821465787,2976,0.9674059139784946,هزار جریب آزادی,1106.0
2018-10,1113,2880,2708.0,651.560684391802,804.5,1764426.333333,0.9997784342688332,2976,0.9099462365591398,دفاع مقدس,1080.0
2018-10,1115,2880,2880.0,647.0253472222222,795.5,1863433.0,1.0,2976,0.967741935483871,,
2018-10,1116,2880,2880.0,839.171875,1046.5,2416815.0,0.999884259375,2976,0.967741935483871,جنوب پل فردوسي,1116.0
2018-10,1117,2880,2880.0,449.4038194444444,552.5,1294283.0,1.0,2976,0.967741935483871,هتل پل,1117.0
2018-10,1119,2880,2880.0,548.7338293649306,698.0,1580353.428571,0.999609375,2976,0.967741935483871,,
2018-10,1501,2880,2880.0,619.8022222222222,729.0,1785030.4,0.9992739906250001,2976,0.967741935483871,جي – اريسون,1467.0
2018-10,1502,2880,2851.0,593.7151876534549,693.0,1692682.0,1.0,2976,0.957997311827957,,
2018-10,1503,2880,2879.0,747.1035428968393,906.0,2150911.1,0.9997789638763459,2976,0.9674059139784946,جي – شهيد رجائي,1466.0
2018-10,1504,2880,2880.0,622.7831628767361,735.272727,1793615.509085,0.9512154704861111,2976,0.967741935483871,جي – مسجد علي,1468.0
2018-11,1001,2879,2785.0,521.8634133070018,629.0,1453389.60606,0.9989228007181329,2880,0.9670138888888888,اشراق - ابوريحان,1252.0
2018-11,1002,2879,2870.0,385.56439024390244,455.0,1106569.8,0.9980044365853658,2880,0.9965277777777778,اشراق - فلاطوري,1253.0
2018-11,1010,2879,2851.0,386.91857633286565,447.777778,1103104.861125,0.8990178884601894,2880,0.9899305555555555,چهارراه جهاد,1005.0
2018-11,1012,2879,2873.0,308.7152801949182,378.0,886939.0,1.0,2880,0.9975694444444444,چهار راه مصدق,1016.0
2018-11,1014,2879,2873.0,728.9629058701705,913.0,2094310.428565,0.636364,2880,0.9975694444444444,شمال پل فلزي,1014.0
2018-11,1016,2879,2870.0,537.2499208069686,644.727273,1541907.272716,0.9166670000000001,2880,0.9965277777777778,امام خميني امام رضا,1259.0
2018-11,1017,2879,2873.0,3319.096762965541,3752.0,9535765.0,1.0,2880,0.9975694444444444,,
