intersection_id,weekday,hour,volume_sum,observations,mean_volume
1001,0,0,148124.636364,426,347.710414
1001,0,1,82993.909091,434,191.23020527880183
1001,0,2,40253.363637,434,92.74968579953918
1001,0,3,19943.363637,432,46.16519360416666
1001,0,4,14585.818181999999,428,34.07901444392523
1001,0,5,20743.0,428,48.46495327102804
1001,0,6,77360.257576,428,180.748265364486
1001,0,7,226423.430302,428,529.0267063130841
1001,0,8,272523.545454,425,641.2318716564706
1001,0,9,264289.818181,425,621.85839572
1001,0,10,276164.545454,428,645.2442650794393
1001,0,11,286987.575756,432,664.3230920277778
1001,0,12,309829.727272,430,720.5342494697674
1001,0,13,325322.727273,428,760.0998300771028
1001,0,14,284208.363637,430,660.9496828767441
1001,0,15,237651.545455,428,555.2606202219627
1001,0,16,254872.181818,432,589.9819023564816
1001,0,17,312901.090909,436,717.663052543578
1001,0,18,342330.999999,436,785.1628440344036
1001,0,19,348445.909091,436,799.1878648876146
1001,0,20,344367.454545,436,789.8336113417431
1001,0,21,319916.363636,436,733.7531276055047
1001,0,22,278015.363636,436,637.6499165963303
1001,0,23,215552.363636,436,494.38615512844035
1001,1,0,151701.545454,430,352.7942917534884
1001,1,1,83995.818182,431,194.88588905336428
1001,1,2,40521.363636,431,94.01708500232019
1001,1,3,19637.636363999998,432,45.45749158333333
1001,1,4,13727.0,432,31.775462962962962
1001,1,5,21586.363637,432,49.9684343449074
1001,1,6,78710.627274,432,182.20052609722222
1001,1,7,225841.618181,432,522.7815235671296
1001,1,8,271786.454545,432,629.1353114467593
1001,1,9,258492.0,426,606.7887323943662
1001,1,10,264910.742424,417,635.2775597697841
1001,1,11,275910.636364,422,653.8166738483412
1001,1,12,301091.0,425,708.4494117647059
1001,1,13,317863.636364,427,744.4113263793911
1001,1,14,284660.909092,430,662.0021141674418
1001,1,15,237234.727274,432,549.1544612824074
1001,1,16,254259.272728,436,583.1634695596331
1001,1,17,310660.545454,436,712.5241868211009
1001,1,18,339636.90909,436,778.983736444954
1001,1,19,347409.727272,436,796.8113010825688
1001,1,20,340629.818181,436,781.2610508738533
1001,1,21,316576.272727,436,726.0923686399083
1001,1,22,271642.454545,431,630.2609154176333
1001,1,23,212880.90909,435,489.38140020689656
1001,2,0,153950.818182,431,357.1944737401392
1001,2,1,86084.0,434,198.35023041474653
1001,2,2,43572.0,433,100.62817551963049
1001,2,3,22288.0,436,51.11926605504587
1001,2,4,16500.363636000002,436,37.844870724770644
1001,2,5,22107.636363,436,50.705587988532116
1001,2,6,80745.654545,436,185.19645537844036
1001,2,7,226433.515152,435,520.5368164413793
1001,2,8,270411.527272,432,625.9526094259259
1001,2,9,265062.666666,432,613.5709876527777
1001,2,10,276907.436363,428,646.9799915023365
1001,2,11,288431.727273,430,670.7714587744186
1001,2,12,308563.363637,431,715.9242775800464
1001,2,13,326971.909091,432,756.8794191921296
1001,2,14,289336.818183,431,671.3151233944316
1001,2,15,244054.090909,434,562.3366149976958
1001,2,16,260605.909091,436,597.7199749793579
1001,2,17,312734.0,432,723.9212962962963
1001,2,18,344752.636363,436,790.7170558784404
1001,2,19,350309.363637,436,803.4618432041284
1001,2,20,340501.242423,435,782.7614768344828
1001,2,21,320111.363637,435,735.8881922689654
1001,2,22,277571.818183,434,639.566401343318
1001,2,23,221728.272727,435,509.72016718850574
1001,3,0,164620.363636,432,381.0656565648148
1001,3,1,95107.454547,436,218.13636363990827
1001,3,2,46094.181818,436,105.72060049999999
1001,3,3,22591.454545,437,51.696692322654464
1001,3,4,15126.090908,439,34.45578794533029
1001,3,5,21697.818181,440,49.31322313863636
1001,3,6,66003.454546,440,150.00785124090908
1001,3,7,169773.157576,440,385.8480854
1001,3,8,246565.272727,440,560.3756198340909
1001,3,9,269725.727274,438,615.8121627260274
1001,3,10,295311.545455,440,671.1626033068183
1001,3,11,313006.090909,439,712.9979291776766
1001,3,12,326529.272727,438,745.5006226643835
1001,3,13,336733.272727,440,765.3028925613636
1001,3,14,315342.090909,440,716.6865702477273
1001,3,15,245590.363636,439,559.4313522460136
1001,3,16,250912.0,437,574.1693363844394
1001,3,17,295399.727272,434,680.6445328847926
1001,3,18,326370.363636,434,752.0054461658987
1001,3,19,340289.545454,436,780.4806088394496
1001,3,20,341283.272727,438,779.1855541712329
1001,3,21,310960.090909,440,706.7274793386364
1001,3,22,265908.818182,440,604.3382231409091
1001,3,23,226987.909091,440,515.8816115704545
1001,4,0,191331.545455,436,438.83381985091745
1001,4,1,131774.909091,437,301.544414395881
1001,4,2,75412.181817,440,171.39132231136364
1001,4,3,38939.0,438,88.90182648401826
1001,4,4,23339.363637,436,53.53065054357798
1001,4,5,23803.272728,436,54.59466222018349
1001,4,6,45175.272727,436,103.61301084174313
1001,4,7,78415.181818,430,182.36088794883722
1001,4,8,111527.272727,429,259.9703326969697
1001,4,9,141052.181818,429,328.79296461072266
1001,4,10,199071.454545,435,457.63552768965513
1001,4,11,245185.272727,434,564.9430247165899
1001,4,12,267966.0,436,614.6009174311927
1001,4,13,261055.181818,436,598.7504170137615
1001,4,14,221398.0,436,507.79357798165137
1001,4,15,180141.909091,436,413.16951626376147
1001,4,16,191166.454545,438,436.4530925684931
1001,4,17,232032.636364,441,526.1511028662131
1001,4,18,270571.636364,440,614.935537190909
1001,4,19,295072.181818,437,675.2223840228833
1001,4,20,289718.363636,436,664.4916597155964
1001,4,21,266792.545454,436,611.9095079220184
1001,4,22,246898.818183,434,568.8912861359447
1001,4,23,229722.818181,436,526.8871976628441
1001,5,0,183605.818183,432,425.0134680162037
1001,5,1,106435.727273,436,244.11864053440365
1001,5,2,46133.636363,433,106.54419483371824
1001,5,3,21483.818183,435,49.38808777701149
1001,5,4,14336.818183,436,32.88261051146789
1001,5,5,22034.272728,436,50.5373227706422
1001,5,6,77435.818182,434,178.4235441981567
1001,5,7,221269.000001,436,507.49770642431196
1001,5,8,269007.045456,436,616.9886363669725
1001,5,9,262979.181818,434,605.9428152488479
1001,5,10,276152.909091,437,631.9288537551487
1001,5,11,284400.909091,439,647.8380617107061
1001,5,12,304430.363635,434,701.4524507718894
1001,5,13,320416.090909,435,736.5887147333334
1001,5,14,286392.0,434,659.889400921659
1001,5,15,238122.272727,435,547.4075235103448
