source,target,profile_correlation,profile_distance
1001,1041,0.9967160401493655,0.0032839598506344547
1001,1058,0.9935651119541358,0.006434888045864229
1001,1002,0.9927824369286221,0.007217563071377886
1001,1051,0.9899358714945892,0.01006412850541083
1002,1041,0.9898811699155753,0.010118830084424713
1002,1058,0.9865294152929894,0.013470584707010569
1002,1051,0.977588037463936,0.022411962536064034
1010,1077,0.9951358762776306,0.00486412372236944
1010,1016,0.9944108370119065,0.005589162988093532
1010,1079,0.9941393535190074,0.005860646480992604
1010,1078,0.9935266795640073,0.006473320435992691
1010,1115,0.9926920291799622,0.007307970820037757
1012,1054,0.9952534269062252,0.004746573093774797
1012,1051,0.9940148214252534,0.0059851785747465636
1012,1038,0.9933751642582547,0.006624835741745327
1012,1053,0.9928605319101708,0.007139468089829237
1012,1058,0.9910578565389287,0.00894214346107125
1014,1030,0.9148201137411045,0.0851798862588955
1014,1034,0.9051444258788249,0.09485557412117507
1014,1109,0.905089748178709,0.09491025182129098
1014,1119,0.8976934966698867,0.10230650333011326
1016,1115,0.9955275314390241,0.00447246856097594
1016,1059,0.9946277373239208,0.005372262676079154
1016,1066,0.9932002545695001,0.006799745430499882
1016,1057,0.9915912946200395,0.008408705379960524
1016,1069,0.9911236671559841,0.0088763328440159
1016,1096,0.9385772424624466,0.06142275753755344
1017,1085,0.9406059861955335,0.05939401380446652
1017,1021,0.9383326526905041,0.06166734730949586
1017,1088,0.937494848487977,0.06250515151202296
1017,1083,0.9349330681880247,0.06506693181197531
1018,1059,0.9926489443964431,0.007351055603556866
1018,1115,0.992375481298915,0.007624518701085048
1018,1503,0.989900774229585,0.010099225770414999
1018,1074,0.989846836759528,0.010153163240471996
1018,1019,0.972494880584955,0.027505119415044965
1019,1502,0.9776360883407708,0.02236391165922924
1019,1115,0.9773688463045042,0.022631153695495843
1019,1503,0.9738398274664858,0.026160172533514214
1019,1096,0.952924110152399,0.04707588984760103
1021,1047,0.9929865866148349,0.007013413385165146
1021,1085,0.9871584525351724,0.012841547464827574
1021,1117,0.9840190389407706,0.015980961059229415
1021,1048,0.9838666462828464,0.01613335371715363
1028,1029,0.9924760144603715,0.007523985539628519
1028,1079,0.9923155913694964,0.00768440863050357
1028,1039,0.991655946481518,0.008344053518481998
1028,1040,0.9914496046719425,0.008550395328057458
1029,1078,0.9901748809892302,0.009825119010769767
1029,1058,0.9899987296670637,0.010001270332936296
1029,1039,0.989659928670755,0.01034007132924497
1030,1109,0.987778853435804,0.01222114656419604
1030,1034,0.9849900723191355,0.01500992768086451
1030,1090,0.9773928584277198,0.022607141572280165
1030,1082,0.9765581748930698,0.02344182510693016
1031,1032,0.9862196718446601,0.013780328155339916
1031,1083,0.9589270021517097,0.04107299784829033
1031,1034,0.9519889648631268,0.048011035136873215
1031,1094,0.9505226494768977,0.049477350523102315
1032,1034,0.9620391621689564,0.03796083783104365
1032,1094,0.9601432601234599,0.03985673987654015
1032,1083,0.956052953210416,0.043947046789584054
1033,1117,0.99268379763903,0.00731620236096997
1033,1035,0.9917119906949425,0.008288009305057464
1033,1085,0.9905082531251522,0.009491746874847773
1033,1083,0.9903263439785334,0.009673656021466637
1034,1035,0.9918861410474739,0.008113858952526143
1034,1093,0.9907259501773292,0.009274049822670771
1034,1109,0.9880310797082503,0.011968920291749674
1034,1112,0.9876546901929595,0.012345309807040517
1035,1093,0.997334711447212,0.0026652885527880255
1035,1112,0.9967919665845895,0.0032080334154105383
