intersection_id,community,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,dtw_cluster,mean_volume,trusted_months,name_fa,gis_id
1001,2,0.0547945205479452,3.9729994605267125,0.0,0.05928728817115377,2,493.98937558841135,25,اشراق - ابوريحان,1252.0
1002,2,0.0547945205479452,3.946781059601123,0.0,0.058859147097912665,2,358.80339438122957,25,اشراق - فلاطوري,1253.0
1010,1,0.0684931506849315,4.969904775552514,0.04147640791476408,0.08647069409199211,2,568.5738576556663,24,چهارراه جهاد,1005.0
1012,2,0.0684931506849315,4.966561801038833,0.00076103500761035,0.0871398076943631,2,305.64937727356437,25,چهار راه مصدق,1016.0
1014,4,0.0547945205479452,3.622747784468525,0.0,0.06162565307209483,2,594.6407236505213,1,شمال پل فلزي,1014.0
1016,1,0.0958904109589041,6.8990585645828215,0.15182648401826482,0.06669553058981846,2,544.293740981238,24,امام خميني امام رضا,1259.0
1017,3,0.0547945205479452,3.7513665555620395,0.0,0.049662411743084285,1,2707.5927378387196,12,,
1018,1,0.0684931506849315,4.937266917269426,0.0,0.02985613629530465,2,348.8625406339792,22,سه راه نقشينه,1135.0
1019,1,0.0684931506849315,4.854263752849114,0.0,0.022354218701610126,2,539.9895627566083,6,بعثت گلستان,1427.0
1021,3,0.0684931506849315,4.886363377064129,0.001141552511415525,0.06315120100482859,2,459.5139129607438,26,شمال پل آذر,1021.0
1028,1,0.0547945205479452,3.967897156983329,0.0,0.10924672164015606,2,442.17457635282665,14,آتشگاه - حجازي,1396.0
1029,1,0.0547945205479452,3.9623095537874202,0.0015220700152207,0.08699899759867062,2,547.27737113035,21,قدس - آتشگاه,1180.0
1030,4,0.0684931506849315,4.841540072816834,0.0,0.07145444872384372,2,580.8635304658462,7,نیکبخت,1107.0
1031,4,0.0547945205479452,3.847658288336394,0.0,0.0560008333430477,1,600.8575782140165,26,شيخ صدوق سعادت آباد,1111.0
1032,4,0.0547945205479452,3.8644550473474926,0.0,0.056268784702778615,1,621.8539788800964,26,چهارراه فرايبورگ,1114.0
1033,4,0.0547945205479452,3.965230385437658,0.00989345509893455,0.06759077347791409,2,418.62899083884184,25,سجاد سپه سالار,1105.0
1034,4,0.1095890410958904,7.762460486356057,0.016362252663622526,0.1160569234563193,2,514.3692747278832,26,چهارراه آپادانا,1110.0
