intersection_id,community,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,dtw_cluster,mean_volume,trusted_months,name_fa_x,gis_id,name_fa_y,intersection_label,pre_pandemic_volume,pre_months,mar_oct_2020_volume,mar_oct_months,trusted_months_calc,monthly_mean_volume,monthly_std_volume,monthly_volume_cv,max_abs_consecutive_month_change,possible_regime_shift,shock_change,recovery_change,jan_2021_vs_2020,mar_oct_vs_pre,volume_rank,centrality_rank,community_label
1001,2,0.0547945205479452,3.972999460526713,0.0,0.0592872881711537,2,493.98937558841135,25,اشراق - ابوريحان,1252.0,اشراق - ابوريحان,SCATS 1001 — اشراق - ابوريحان,516.3760143303996,14.0,467.663880304979,8.0,25,493.98937558841135,45.060159518023866,0.09121685960219454,0.29520919786183275,No large shift,-0.29520919786183275,0.2094562259200119,,-0.09433461794035325,46.0,57.0,Community 2
1002,2,0.0547945205479452,3.946781059601123,0.0,0.0588591470979126,2,358.8033943812296,25,اشراق - فلاطوري,1253.0,اشراق - فلاطوري,SCATS 1002 — اشراق - فلاطوري,376.42308878075175,14.0,330.46170074423674,8.0,25,358.80339438122957,39.61934037339329,0.11042075129115873,0.3350297603443906,No large shift,-0.3350297603443906,0.23998686782232959,,-0.12210034242422707,69.0,68.0,Community 2
1010,1,0.0684931506849315,4.969904775552514,0.041476407914764,0.0864706940919921,2,568.5738576556663,24,چهارراه جهاد,1005.0,چهارراه جهاد,SCATS 1010 — چهارراه جهاد,424.84094995260045,12.0,761.9196205076639,8.0,24,568.5738576556663,229.41802168131133,0.4034973092629402,1.0360741123769523,Review,-0.23930092477538956,1.0360741123769523,0.9102609346911212,0.7934232107160841,34.0,40.0,Community 1
1012,2,0.0684931506849315,4.966561801038833,0.0007610350076103,0.0871398076943631,2,305.6493772735644,25,چهار راه مصدق,1016.0,چهار راه مصدق,SCATS 1012 — چهار راه مصدق,314.56744029599736,14.0,296.99718153664446,8.0,25,305.64937727356437,24.468801231779636,0.08005513196213518,0.2526500751106928,No large shift,-0.2526500751106928,0.23883397500709136,,-0.05585530003620165,74.0,42.0,Community 2
1014,4,0.0547945205479452,3.622747784468525,0.0,0.0616256530720948,2,594.6407236505213,1,شمال پل فلزي,1014.0,شمال پل فلزي,SCATS 1014 — شمال پل فلزي,594.6407236505213,1.0,,,1,594.6407236505213,,,,No large shift,,,,,26.0,74.0,Community 4
1016,1,0.0958904109589041,6.8990585645828215,0.1518264840182648,0.0666955305898184,2,544.293740981238,24,امام خميني امام رضا,1259.0,امام خميني امام رضا,SCATS 1016 — امام خميني امام رضا,551.6760995552665,14.0,546.3095289253631,7.0,24,544.293740981238,29.427578672642586,0.05406562019175776,0.22318610538721584,No large shift,-0.22318610538721584,,,-0.009727756258119058,37.0,23.0,Community 1
1017,3,0.0547945205479452,3.75136655556204,0.0,0.0496624117430842,1,2707.59273783872,12,,,,SCATS 1017,2505.545210084033,9.0,,,12,2707.5927378387196,617.5049867635873,0.22806420557047957,0.3300640943605502,No large shift,,,,,1.0,72.0,Community 3
1018,1,0.0684931506849315,4.937266917269426,0.0,0.0298561362953046,2,348.8625406339792,22,سه راه نقشينه,1135.0,سه راه نقشينه,SCATS 1018 — سه راه نقشينه,347.45869916890945,12.0,345.4666271792495,6.0,22,348.8625406339792,6.8413723463393,0.019610510013217942,0.04703180888669767,No large shift,,,0.010351219394545419,-0.005733262671001826,71.0,47.0,Community 1
1019,1,0.0684931506849315,4.854263752849114,0.0,0.0223542187016101,2,539.9895627566083,6,بعثت گلستان,1427.0,بعثت گلستان,SCATS 1019 — بعثت گلستان,463.0295795793919,3.0,,,6,539.9895627566083,83.29930132151635,0.15426094700104823,0.23436159451102612,No large shift,,,,,39.0,52.0,Community 1
1021,3,0.0684931506849315,4.886363377064129,0.0011415525114155,0.0631512010048285,2,459.5139129607438,26,شمال پل آذر,1021.0,شمال پل آذر,SCATS 1021 — شمال پل آذر,450.60578133362174,14.0,466.2821451743338,8.0,26,459.5139129607438,32.906935584479726,0.07161249019089212,0.17233917746364247,No large shift,-0.16102644186275528,0.17233917746364247,0.1794522406229795,0.03478953109371119,56.0,49.0,Community 3
1028,1,0.0547945205479452,3.967897156983329,0.0,0.109246721640156,2,442.17457635282665,14,آتشگاه - حجازي,1396.0,آتشگاه - حجازي,SCATS 1028 — آتشگاه - حجازي,445.30032174258406,10.0,,,14,442.17457635282665,19.47284905229918,0.04403882559896684,0.04154002730635842,No large shift,,,,,59.0,61.0,Community 1
1029,1,0.0547945205479452,3.96230955378742,0.0015220700152207,0.0869989975986706,2,547.27737113035,21,قدس - آتشگاه,1180.0,قدس - آتشگاه,SCATS 1029 — قدس - آتشگاه,576.509474571435,14.0,431.40126944558705,4.0,21,547.27737113035,60.15835987066787,0.10992298063853148,0.266208369643008,No large shift,-0.266208369643008,0.1876412698817016,,-0.2517013362767686,36.0,63.0,Community 1
1030,4,0.0684931506849315,4.841540072816834,0.0,0.0714544487238437,2,580.8635304658462,7,نیکبخت,1107.0,نیکبخت,SCATS 1030 — نیکبخت,,,592.641149772621,6.0,7,580.8635304658462,25.51060730833374,0.043918417959334634,0.062323216259601244,No large shift,,,,,28.0,53.0,Community 4
1031,4,0.0547945205479452,3.847658288336394,0.0,0.0560008333430477,1,600.8575782140165,26,شيخ صدوق سعادت آباد,1111.0,شيخ صدوق سعادت آباد,SCATS 1031 — شيخ صدوق سعادت آباد,624.6924293945488,14.0,617.6234249889242,8.0,26,600.8575782140165,73.08026350079207,0.12162659863259971,0.2818824808367397,No large shift,-0.2588882152553619,0.2818824808367397,0.17827962752218718,-0.011315975787438037,25.0,70.0,Community 4
1032,4,0.0547945205479452,3.864455047347493,0.0,0.0562687847027786,1,621.8539788800964,26,چهارراه فرايبورگ,1114.0,چهارراه فرايبورگ,SCATS 1032 — چهارراه فرايبورگ,625.6741499029265,14.0,629.8773124644515,8.0,26,621.8539788800964,55.327464287124,0.08897179428965596,0.3517179054699898,No large shift,-0.3517179054699898,0.18229629889011378,-0.121161952209073,0.006717813996594213,18.0,69.0,Community 4
1033,4,0.0547945205479452,3.965230385437658,0.0098934550989345,0.067590773477914,2,418.6289908388418,25,سجاد سپه سالار,1105.0,سجاد سپه سالار,SCATS 1033 — سجاد سپه سالار,385.2203174608404,13.0,540.5381258082209,8.0,25,418.62899083884184,85.08813820150452,0.20325428974951382,0.6341843431754601,Review,-0.2452017090246834,0.6341843431754601,,0.40319215084798676,64.0,62.0,Community 4
1034,4,0.1095890410958904,7.762460486356057,0.0163622526636225,0.1160569234563193,2,514.3692747278832,26,چهارراه آپادانا,1110.0,چهارراه آپادانا,SCATS 1034 — چهارراه آپادانا,560.1225431117782,14.0,488.339438956577,8.0,26,514.3692747278832,59.743912474003565,0.11614984683058663,0.31837152369215205,No large shift,-0.31837152369215205,0.2943773899264721,-0.10984966587874989,-0.1281560705562893,45.0,13.0,Community 4
1035,4,0.1095890410958904,7.951032085713777,0.0517503805175038,0.1471605614252543,2,622.3505986720145,26,چهارراه آبشار,1115.0,چهارراه آبشار,SCATS 1035 — چهارراه آبشار,635.5447086473355,14.0,635.5890186022334,8.0,26,622.3505986720145,43.743693011285295,0.07028786202604538,0.2571734268435756,No large shift,-0.2571734268435756,0.2122715802210262,-0.09417734033847958,6.971965039603845e-05,17.0,11.0,Community 4
1036,4,0.0958904109589041,6.967793305125765,0.2241248097412481,0.1613111544721337,2,775.9992928878514,26,ميدان بزرگمهر,1067.0,ميدان بزرگمهر,SCATS 1036 — ميدان بزرگمهر,828.5687577684175,14.0,603.0939949210021,8.0,26,775.9992928878514,156.92829548976766,0.20222736918453246,0.32317218314097507,No large shift,-0.32317218314097507,0.20472745954157845,-0.29425685770020016,-0.2721255909463519,9.0,16.0,Community 4
1037,2,0.0547945205479452,3.988545937374818,0.0,0.0901711064177017,2,426.7962649671387,12,,,,SCATS 1037,425.9468235294118,9.0,,,12,426.7962649671387,7.579372933155016,0.0177587611591179,0.05628027977438643,No large shift,,,,,63.0,54.0,Community 2
1038,2,0.0958904109589041,6.974292441804661,0.0722983257229832,0.1248813391893725,2,615.2069862687774,14,,,,SCATS 1038,616.8587064270791,10.0,551.3428151907575,1.0,14,615.2069862687774,26.203642317645848,0.042593213182721815,0.07164597335629774,No large shift,,,,-0.10620891065281002,21.0,14.0,Community 2
1039,1,0.136986301369863,9.942495374467764,0.0859969558599695,0.2443811722895726,2,518.8384655791758,26,جي پروين,1188.0,جي پروين,SCATS 1039 — جي پروين,523.3174673962008,14.0,517.0515732138905,8.0,26,518.8384655791758,39.63825062270206,0.07639805691440814,0.22158442286349056,No large shift,-0.22158442286349056,0.20817008877528953,-0.08163697672569192,-0.011973409207008956,44.0,2.0,Community 1
1040,3,0.136986301369863,9.842980075799328,0.060882800608828,0.2207767943648634,2,591.8064932523631,14,,,,SCATS 1040,587.4565609765225,10.0,,,14,591.8064932523631,12.989111986834827,0.021948241756272687,0.03283334910772995,No large shift,,,,,27.0,3.0,Community 3
1041,2,0.0684931506849315,4.972606377032579,0.0799086757990867,0.0792136483612454,2,469.0458166987901,11,پروين دشتستان,1203.0,پروين دشتستان,SCATS 1041 — پروين دشتستان,505.85107418795474,4.0,477.8530287629804,7.0,11,469.04581669879013,51.01392453491186,0.10876106921484766,0.2911771930053505,No large shift,-0.2911771930053505,0.22363775117825946,,-0.05534839571097039,54.0,38.0,Community 2
1042,3,0.0684931506849315,4.968920346257567,0.0019025875190258,0.1183465861714742,2,349.4920939872588,26,كمال ابن سينا,1048.0,كمال ابن سينا,SCATS 1042 — كمال ابن سينا,357.8958510170891,14.0,352.618259540057,8.0,26,349.4920939872588,20.05277815856591,0.05737691496763003,0.2191911292963149,No large shift,-0.15570577131004137,0.2191911292963149,-0.046459867023804446,-0.014746165573123915,70.0,41.0,Community 3
1043,3,0.1232876712328767,8.964847182967826,0.2176560121765601,0.2604423929058317,2,1416.2567590914216,20,,,,SCATS 1043,1448.0474768322772,9.0,1452.189917722241,7.0,20,1416.2567590914216,89.37589574982843,0.06310712741605287,0.24617678326402226,No large shift,,0.24617678326402226,,0.0028607079230755783,2.0,4.0,Community 3
1044,3,0.0547945205479452,3.9721367191078674,0.0,0.1287011159265381,2,483.62933187841526,26,ميدان قدس,1140.0,ميدان قدس,SCATS 1044 — ميدان قدس,495.9076657943739,14.0,457.41684625180517,8.0,26,483.62933187841526,31.639009243203127,0.06541995523786219,0.1770293546968309,No large shift,-0.16131292425429122,0.1770293546968309,0.03243952864181687,-0.07761690773808039,48.0,59.0,Community 3
1047,3,0.0547945205479452,3.9542910128111366,0.0003805175038051,0.0548632297987635,2,533.0644212865561,26,شمال فردوسي,1047.0,شمال فردوسي,SCATS 1047 — شمال فردوسي,518.1401208906386,14.0,578.5051110409197,8.0,26,533.0644212865561,35.969335593372506,0.06747652658296002,0.19400873860473422,No large shift,-0.13584816215972373,0.12616823295002866,-0.02330625803371056,0.11650321547483866,42.0,67.0,Community 3
1048,3,0.0821917808219178,5.951576157709151,0.032724505327245,0.1115663485339371,2,488.1600983843207,26,باغ گلدسته كمال اسماعيل,1458.0,باغ گلدسته كمال اسماعيل,SCATS 1048 — باغ گلدسته كمال اسماعيل,496.3152830368687,14.0,502.97486909253087,8.0,26,488.1600983843207,35.53891201599334,0.0728017552717185,0.272617614467056,No large shift,-0.24662485794971745,0.272617614467056,-0.06249918219038797,0.013418055585379562,47.0,30.0,Community 3
1051,2,0.1506849315068493,10.924335656406992,0.2290715372907153,0.1706515293507897,2,366.8021608794638,23,چهار راه نقاشي,1055.0,چهار راه نقاشي,SCATS 1051 — چهار راه نقاشي,376.2029350468913,13.0,364.61500783063605,6.0,23,366.8021608794638,16.94467945892447,0.04619569148201589,0.07620225772121747,No large shift,,,,-0.030802330701675373,68.0,1.0,Community 2
1053,3,0.0684931506849315,4.971991973849029,0.0057077625570776,0.1170407711395275,2,332.08640276105405,26,هشت بهشت نشاط,1053.0,هشت بهشت نشاط,SCATS 1053 — هشت بهشت نشاط,338.5341162921617,14.0,332.4498480910174,8.0,26,332.08640276105405,26.68911000416998,0.08036796984841797,0.255829095266638,No large shift,-0.23181580649058242,0.255829095266638,-0.09754007493617356,-0.017972393056815195,72.0,39.0,Community 3
1054,2,0.0547945205479452,3.98143527115964,0.0053272450532724,0.0792854991376764,2,455.9974427474988,13,هشت بهشت گلزار,1051.0,هشت بهشت گلزار,SCATS 1054 — هشت بهشت گلزار,456.1334059040523,10.0,,,13,455.9974427474988,7.380235100413694,0.016184816862011175,0.045172237693419603,No large shift,,,,,57.0,56.0,Community 2
1057,1,0.0684931506849315,4.960840011950891,0.047945205479452,0.0532273689325656,2,616.3208353051776,26,صغير وليعصر,1050.0,صغير وليعصر,SCATS 1057 — صغير وليعصر,628.196877703275,14.0,616.4362822859995,8.0,26,616.3208353051776,53.49632802992493,0.08679948001990825,0.25361290190245955,No large shift,-0.2316759696448225,0.25361290190245955,-0.1872546572563648,-0.018721193680989012,20.0,43.0,Community 1
1058,2,0.0821917808219178,5.9510741295852405,0.0038051750380517,0.0821879418770602,2,375.10957181010696,22,پل سرهنگ,1192.0,پل سرهنگ,SCATS 1058 — پل سرهنگ,389.4129542204063,12.0,367.83219787057214,8.0,22,375.10957181010696,25.034781992563406,0.0667399178105667,0.22489277838521904,No large shift,-0.22489277838521904,0.1764846136906033,-0.09299663165407268,-0.05541869143269307,66.0,31.0,Community 2
1059,1,0.0958904109589041,6.928652220964591,0.0753424657534246,0.0424104979952173,2,331.0698672449953,13,پل تمدن,,پل تمدن,SCATS 1059 — پل تمدن,331.5514209479298,10.0,,,13,331.06986724499535,6.80918688688187,0.020567220277534336,0.04177872311145292,No large shift,,,,,73.0,22.0,Community 1
1064,2,0.1095890410958904,7.97376950406565,0.1571537290715373,0.1922352933341064,2,372.63536269623046,12,صياد شيرازي علامه اميني,1064.0,صياد شيرازي علامه اميني,SCATS 1064 — صياد شيرازي علامه اميني,399.80803063225983,4.0,382.26591866258764,8.0,12,372.63536269623046,42.61414341532912,0.11435882817720616,0.28101729476860304,No large shift,-0.28101729476860304,0.24639488156776257,,-0.04387633720596096,67.0,9.0,Community 2
1065,3,0.1232876712328767,8.9523558230266,0.0996955859969558,0.2249967291562123,2,441.7519546933965,4,,,,SCATS 1065,435.2371428571429,4.0,,,4,441.75195469339644,18.303747858122033,0.04143444678320888,0.06173433213505797,No large shift,,,,,60.0,8.0,Community 3
1066,2,0.1232876712328767,8.955365407306992,0.2016742770167427,0.1460497756304808,2,538.3606905151962,19,حمزه هشت بهشت,,حمزه هشت بهشت,SCATS 1066 — حمزه هشت بهشت,542.9980746062029,14.0,431.26493621506603,2.0,19,538.3606905151962,43.73147711685269,0.08123081400130251,0.25470656429505056,No large shift,-0.25470656429505056,,,-0.20577078191698706,40.0,7.0,Community 2
1067,1,0.0547945205479452,3.6359328076671513,0.0,0.0545163422039753,2,828.7377128346283,13,,,,SCATS 1067,811.9547156899405,10.0,,,13,828.7377128346284,43.159851816057134,0.05207902469942203,0.08411271035026557,No large shift,,,,,7.0,73.0,Community 1
1068,1,0.0684931506849315,4.876281863760963,0.0019025875190258,0.1146506156497504,2,574.1853243548953,21,جي صيادشيرازي,1213.0,جي صيادشيرازي,SCATS 1068 — جي صيادشيرازي,585.4768822402027,11.0,542.1423929375569,6.0,21,574.1853243548953,25.803854400811066,0.04493994065383338,0.08192663591343075,No large shift,,,,-0.07401571371500715,31.0,51.0,Community 1
1069,1,0.0547945205479452,3.97180529983148,0.0182648401826484,0.0494299181433847,2,617.693389492841,25,ميدان احمد آباد,1215.0,ميدان احمد آباد,SCATS 1069 — ميدان احمد آباد,631.0478070818492,14.0,587.5511319250585,7.0,25,617.693389492841,57.64689780959048,0.09332607210985637,0.27916113570796197,No large shift,-0.27916113570796197,0.23144930907461592,-0.027500638291412027,-0.06892770194057429,19.0,60.0,Community 1
1070,3,0.0684931506849315,4.953204240152306,0.0030441400304414,0.0875812229371414,2,705.0921284080481,13,,,,SCATS 1070,714.9795512903574,10.0,,,13,705.0921284080481,25.203645674947435,0.03574518089125749,0.06278913721034862,No large shift,,,,,13.0,45.0,Community 3
1071,3,0.0958904109589041,6.964019616917091,0.0312024353120243,0.2001590198841031,2,730.187525343655,20,میدان 25 آبان,1287.0,میدان 25 آبان,SCATS 1071 — میدان 25 آبان,987.969314371488,9.0,613.2191969473868,7.0,20,730.187525343655,178.1677512010038,0.24400273219835006,0.24351213416797513,No large shift,,0.24351213416797513,,-0.3793135191273672,12.0,18.0,Community 3
1072,3,0.0684931506849315,4.96015179130681,0.0072298325722983,0.0989769438967709,2,1038.96800226637,13,,,,SCATS 1072,1038.5891796907222,10.0,,,13,1038.9680022663701,31.1082786910062,0.029941517566611904,0.048579384309938245,No large shift,,,,,3.0,44.0,Community 3
1074,3,0.0547945205479452,3.959630157597768,0.0144596651445966,0.0592885563665357,2,639.0639763147939,12,,,,SCATS 1074,638.8648340197985,9.0,,,12,639.0639763147939,10.339847324110929,0.01617967481712295,0.04229392304477342,No large shift,,,,,16.0,66.0,Community 3
1075,1,0.0547945205479452,3.972156197399108,0.0,0.0600086237727291,2,922.0660032460224,24,حكيم عبدالرزاق,1045.0,حكيم عبدالرزاق,SCATS 1075 — حكيم عبدالرزاق,941.4660952337216,12.0,899.9484780986168,8.0,24,922.0660032460224,84.28132911274398,0.09140487645791266,0.31312284545126645,No large shift,-0.31312284545126645,0.2873822213795503,-0.0010865411890145227,-0.04409889782042331,4.0,58.0,Community 1
1077,1,0.1095890410958904,7.957751466720245,0.0977929984779299,0.1540165725484128,2,464.4433304192823,25,5 رمضان مسجد سيد,1018.0,5 رمضان مسجد سيد,SCATS 1077 — 5 رمضان مسجد سيد,487.26553710271116,14.0,452.93459290230294,8.0,25,464.4433304192823,39.30637158218446,0.08463114659586159,0.2848952775396476,No large shift,-0.2584248109144456,0.22226482216151577,,-0.0704563355835518,55.0,10.0,Community 1
